S. No.,Roll No.
1,200010001
2,200010002
3,200010003
4,200010004
5,200010005
6,200010006
7,200010007
8,200010008
9,200010009
10,200010010
11,200010011
12,200010012
13,200010013
14,200010014
15,200010016
16,200010017
17,200010018
18,200010019
19,200010020
20,200010021
21,200010022
22,200010023
23,200010024
24,200010025
25,200010026
26,200010027
27,200010028
28,200010029
29,200010030
30,200010031
31,200010032
32,200010033
33,200010034
34,200010035
35,200010036
36,200010037
37,200010038
38,200010039
39,200010040
40,200010041
41,200010042
42,200010043
43,200010044
44,200010045
45,200010046
46,200010047
47,200010048
48,200010049
49,200010050
50,200010051
51,200010052
52,200010053
53,200010054
54,200010055
55,200010056
56,200010057
